PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
2590044,BLOSS TWP MUNICIPAL AUTHORITY,Tioga,Ground water,325,3,4.910167506,3.761400505,Local government,186,Rural,47,3,50
2590045,OSCEOLA TWP MUNICIPAL AUTHORIT,Tioga,Ground water,400,4,4.058065663,3.988929835,Local government,192,Rural,138,1,139
2590048,DUNCAN TWP MUNICIPAL AUTHORITY,Tioga,Ground water,220,6,2.927839986,7.052437877,Local government,101,Rural,372,2,374
2590049,HAMILTON TWP MUN AUTH,Tioga,Surface water purchased,400,5,2.835266146,2.97574246,Local government,164,Rural,3,0,3
2590050,LAWRENCEVILLE BORO AUTHORITY,Tioga,Ground water,600,4,3.304217412,6.083302134,Local government,270,Rural,277,0,277
2590051,NELSON TOWNSHIP AUTHORITY,Tioga,Surface water,300,8,3.87506717,3.790936593,Local government,122,Rural,532,10,542
2590053,GEORGE DEAR MHP,Tioga,Ground water,200,6,2.412328867,4.019511552,Private,50,Rural,59,1,60
2590054,BAKERCREST PCH,Tioga,Ground water,35,4,3.154268825,1.90135883,Private,1,Rural,576,0,576
2590812,MANSFIELD UNIVERSITY,Tioga,Surface water,3000,7,3.870931453,7.46417488,State government,36,Urban,93,3,96
2640004,SUNRISE TERRACE MOBILE HOME PK,Wayne,Ground water,144,6,8.000279004,2.848296366,Private,70,Urban,1,0,1
2640006,NEVILLES MOBILE HOME COURT,Wayne,Ground water,85,3,3.215220846,8.685261862,Private,34,Rural,4,0,4
2640008,LAKESIDE MOBILE HOME PARK,Wayne,Ground water,48,5,6.22305515,2.493014228,Private,19,Urban,2,1,3
2640010,CHERRY HILL AT HOLIDAY PARK,Wayne,Ground water,100,3,3.410294766,1.677267886,Private,42,Rural,2,5,7
2640012,CANAL MOBILE HOME PARK,Wayne,Ground water,200,6,3.450573362,4.240263088,Private,50,Urban,4,0,4
2640014,THE DEVEREUX FOUNDATION,Wayne,Ground water,115,5,3.390347382,13.86303004,Private,4,Rural,1,1,2
2640015,PORT FLORENCE DEVELOPMENT,Wayne,Ground water,100,7,5.478091867,4.848992313,Private,20,Rural,1,0,1
2640017,AQUA PA GARDEN HILLS,Wayne,Ground water,90,4,3.113093915,7.462166201,Private,41,Rural,1,0,1
2640018,AQUA PA HONESDALE,Wayne,Ground water,5500,17,9.871368859,4.189772911,Private,2374,Urban,2,1,3
2640019,HILLTOP VILLAGE ASSOCIATION,Wayne,Ground water,86,12,2.684784669,11.40042574,Private,45,Rural,2,3,5
2640020,AQUA PA WATER CO SCI WAYMART,Wayne,Ground water,3200,9,3.013872315,21.96540883,Private,4,Rural,1,0,1
2640022,AQUA PA GOULDSBORO,Wayne,Ground water,350,3,5.09766655,17.34094964,Private,141,Rural,2,0,2
2640023,LAKE WALLENPAUPACK SANDY SHORE,Wayne,Ground water,499,12,4.906802939,4.267189985,Private,170,Rural,4,1,5
2640024,CHERRY HILL MOBILE HOME COURT,Wayne,Ground water,86,4,3.336780528,1.977856048,Private,38,Rural,1,4,5
2640025,ROAMINGWOOD SEWER AND WATER,Wayne,Ground water,7105,15,2.928179364,3.604509011,Private,3046,Rural,23,4,27
2640028,AQUA PA WATER CO HAWLEY,Wayne,Ground water,1800,14,3.894729375,5.547199885,Private,806,Rural,1,1,2
2640031,AQUA PA WAYNE COUNTY PRISON,Wayne,Ground water,160,3,3.480083275,5.138373746,Private,1,Urban,1,0,1
2640032,AQUA PA WATER CO  WAYMART,Wayne,Ground water,1100,14,2.756408808,30.55409261,Private,415,Rural,2,0,2
2640036,WALLENPAUPACK LAKE ESTATES,Wayne,Ground water,2200,15,4.678199548,2.490190003,Private,955,Rural,28,1,29
2640042,ARNOLD APARTMENTS,Wayne,Ground water,44,3,3.84358425,7.475160569,Private,19,Rural,17,5,22
2640044,HAMLIN WATER COMPANY,Wayne,Ground water,400,5,3.724420009,8.338603789,Private,90,Rural,33,3,36
2640046,SABER HEALTH CARE GROUP,Wayne,Ground water,200,3,1.892065256,6.464725612,Private,1,Rural,89,0,89
2640047,PAW INDIAN ROCKS,Wayne,Ground water,1100,16,3.86840595,9.437467943,Private,404,Rural,3,2,5
2640048,AQUA PA PAUPACKAN LAKE ESTATES,Wayne,Ground water,800,18,3.957531929,0,Private,400,Rural,2,1,3
2640049,PINE GROVE ESTATES,Wayne,Ground water,263,14,2.928623914,10.99102448,Private,120,Rural,19,1,20
2640050,RYAN HILL DEVELOPMENT,Wayne,Ground water,75,3,2.498399258,5.084833525,Private,25,Rural,2,0,2
2640051,WOODLAND HILLS,Wayne,Ground water,320,8,5.118754518,4.006172671,Private,125,Rural,15,2,17
2640052,PARADISE POINT,Wayne,Ground water,300,4,5.311500485,3.660573361,Private,150,Rural,69,0,69
2640054,SALEM HEIGHTS ESTATES,Wayne,Ground water,62,3,4.117172277,9.463034151,Private,40,Rural,621,16,637
2640055,WOODLYN RESIDENCES,Wayne,Ground water,35,3,4.072521655,1.016795345,Private,14,Rural,35,0,35
2640056,MOUNTAIN CREST DEVELOPMENT,Wayne,Ground water,44,2,2.276397816,0.044823766,Private,16,Rural,5,0,5
2640057,HIMALAYAN INSTITUTE,Wayne,Ground water,124,8,2.198173582,6.972112814,Public/Private,14,Rural,101,4,105
2640063,BUCKINGHAM ESTATES,Wayne,Ground water,57,3,3.798793534,8.566499193,Private,29,Rural,1,0,1
2640064,HOLLISTER HEIGHTS MHP,Wayne,Ground water,60,3,3.048685938,6.646349098,Private,22,Rural,3,0,3
2640065,BETHANY VILLAGE,Wayne,Ground water,99,3,3.978330647,8.72459268,Private,4,Rural,64,0,64
2640703,ASPEN RIDGE POA,Wayne,Ground water,100,3,4.473296176,5.923904876,Local government,38,Rural,12,2,14
2660004,WINOLA WATER CO,Wyoming,Ground water,130,5,2.631754668,5.115047293,Private,45,Rural,98,0,98
2660008,COPPER KETTLE MHP,Wyoming,Ground water,62,3,3.115327778,2.501013638,Private,27,Rural,1,0,1
2660010,MESHOPPEN BOROUGH WATER CO,Wyoming,Ground water,563,6,3.328771551,9.297000431,Local government,186,Rural,15,1,16
2660011,NICHOLSON BORO AUTH,Wyoming,Ground water,1000,5,1.659401663,6.154116161,Local government,234,Rural,5,1,6
2660012,SUEZ WATER PA NOXEN,Wyoming,Ground water,315,3,3.722659928,3.452158241,Private,105,Rural,0,0,0
2660014,TUNKHANNOCK BORO MUNIC AUTH,Wyoming,Ground water,5349,14,4.783787049,3.384917663,Local government,835,Urban,5,0,5
2660015,WESTGATE WATER SYSTEM,Wyoming,Ground water,150,4,3.183254554,5.648470516,Local government,43,Rural,34,0,34
2660016,AQUA PA WASHINGTON PARK,Wyoming,Ground water,300,10,3.11567184,6.056827705,Private,156,Rural,10,0,10
2660017,AQUA PA RIVERCREST,Wyoming,Ground water,542,6,4.304175034,4.749425809,Private,215,Rural,8,0,8
2660018,AQUA PA BUNKER HILL,Wyoming,Ground water,210,4,1.979866796,6.199869966,Private,66,Rural,5,0,5
2660019,LACEYVILLE WATER CO,Wyoming,Ground water,415,5,3.280024998,7.758428059,Local government,163,Rural,7,0,7
2660020,MEHOOPANY TWP MUNICIPAL AUTH,Wyoming,Ground water,85,4,3.147219885,7.757386563,Private,31,Rural,3,0,3
2660023,MT AIRY LAKEVIEW ESTATES,Wyoming,Ground water,35,4,5.108797916,1.558556822,Private,24,Rural,5,0,5
2660024,DYMONDS MHP,Wyoming,Ground water,90,3,4.645751299,4.011966846,Private,36,Rural,40,0,40
2660027,COOKS MHP,Wyoming,Ground water,92,11,2.974474013,4.258646139,Private,42,Rural,83,2,85
2660031,OAKWOOD LAKE VILLAGE MHP,Wyoming,Ground water,273,3,5.162844112,3.025959683,Private,79,Urban,33,0,33
2660033,CLARENDON ACRES WATER CO,Wyoming,Ground water,280,8,5.41288649,2.366759744,Private,68,Urban,158,0,158
2660034,MAPLEWOOD HEIGHTS,Wyoming,Ground water,35,3,1.525191088,3.353413166,Private,14,Rural,3,1,4
2660035,VILLAGE OF MTN HEIGHTS,Wyoming,Ground water,54,3,1.529035615,2.96449262,Private,18,Rural,6,1,7
2660036,AQUA PA FACTORYVILLE,Wyoming,Ground water,2323,6,1.753402752,3.689839782,Private,221,Urban,6,0,6
2660037,FREEMANS MHP,Wyoming,Ground water,83,3,3.278590058,1.192495496,Private,42,Rural,39,0,39
2660039,EATON SEWER & WATER CO,Wyoming,Ground water,3100,4,4.196281332,4.111472454,Private,98,Rural,11,0,11
2660042,WHITES FERRY ROAD APTS,Wyoming,Ground water,39,4,3.86233687,4.446535021,Public/Private,12,Rural,5,0,5
2660043,OLD ORCHARD APTS,Wyoming,Ground water,38,4,2.249279538,4.801245041,Public/Private,11,Rural,7,0,7
2660044,MESHOPPEN TOWNHOUSE APTS,Wyoming,Ground water,65,4,3.505353748,9.974723525,Public/Private,26,Rural,7,0,7
2660047,WINOLA VIEW APTS,Wyoming,Ground water,28,3,2.651912381,5.01299814,Local government,24,Rural,15,0,15
2660050,SCHOOLHOUSE HILL APTS,Wyoming,Ground water,38,3,3.101563673,7.581425158,Public/Private,20,Rural,56,1,57
3060002,BALLY MUNI WATER WORKS,Berks,Ground water,1090,8,4.606612769,3.25565015,Local government,458,Urban,2,0,2
3060004,WOODLAND MHP,Berks,Ground water,61,4,3.122633682,4.248007638,Private,39,Rural,6,2,8
3060005,GEISINGERS MHP,Berks,Ground water,90,6,3.124870872,4.772052827,Private,48,Rural,3,0,3
3060010,BIRDSBORO MUNI WATER AUTH,Berks,Surface water,5353,7,3.396003468,7.065220767,Local government,2005,Urban,8,6,14
3060012,MAIDENCREEK TWP WATER AUTH,Berks,Ground water,7505,12,2.471133355,16.70725714,Local government,2607,Urban,4,0,4
3060013,MAXATAWNY TWP MUNI AUTH,Berks,Ground water,425,5,4.093475431,10.19101929,Private,136,Rural,17,1,18
3060016,LENAPE HILLS TRAILER PARK,Berks,Ground water,44,3,3.572105023,3.718577432,Private,18,Rural,282,4,286
3060018,AQUA PA FLYING HILLS WA SYS,Berks,Ground water,3600,10,3.190287014,11.64055419,Private,1424,Rural,0,1,1
3060026,PARK PLACE COURT,Berks,Ground water,29,4,3.430362284,12.97146554,Private,19,Urban,44,0,44
3060028,VALLEY VIEW MHP BLANDON,Berks,Ground water,50,3,3.143822677,12.92232239,Private,30,Urban,3,0,3
3060029,FLEETWOOD BORO WATER SYSTEM,Berks,Ground water,4218,40,2.113865692,14.42351635,Local government,1694,Urban,25,0,25
3060030,AQUA PA GEIGERTOWN WATER SYS,Berks,Ground water,200,6,1.840254736,4.202091895,Private,75,Rural,1,0,1
3060031,LAUREL HEALTH RESOURCES,Berks,Ground water,240,7,5.932108043,8.693390074,Private,2,Urban,1,0,1
3060032,VILLAGE OF PLEASANT HILL,Berks,Ground water,1200,7,5.410854101,6.679342444,Private,354,Urban,4,1,5
3060034,LE MA KE DE MOBILE CT,Berks,Ground water,90,3,2.020692179,4.889340319,Private,50,Rural,3,0,3
3060035,HAMBURG MUNI WATER&SEWER AUTH,Berks,Surface water,4990,11,3.396112541,5.330726202,Local government,2229,Urban,11,3,14
3060036,WILL O HILL APTS,Berks,Ground water,300,4,1.268081637,13.17786959,Private,190,Urban,4,0,4
3060037,HEREFORD EST MHP,Berks,Ground water,710,4,2.143104626,4.619082851,Private,344,Urban,3,0,3
3060038,MUHLENBERG TWP MUNI AUTH,Berks,Ground water,21000,38,3.21094905,31.500332,Local government,7851,Urban,8,2,10
3060040,BERKLEIGH HEIGHTS MHP INC,Berks,Ground water,95,7,6.417009078,5.518240267,Private,47,Rural,25,1,26
3060041,KUTZTOWN BOROUGH WATER,Berks,Groundwater under influence of surface water,14200,6,2.470162493,12.80053363,Local government,1902,Urban,0,0,0
3060042,GREEN ACRES MHP,Berks,Ground water,47,3,2.216092795,9.50264002,Private,18,Rural,2,0,2
3060043,HIGHLAND EST MHP,Berks,Ground water,1050,12,2.173385206,9.606084934,Private,271,Rural,0,0,0
3060044,SITTLERS MHP,Berks,Ground water,89,8,4.899178622,20.67547688,Private,49,Rural,74,6,80
3060045,BERN TWP MUNI AUTH,Berks,Surface water purchased,1800,7,2.824135753,19.97016792,Local government,336,Rural,2,0,2
3060047,LEESPORT BORO WATER AUTH,Berks,Ground water,2200,15,2.1994019,10.90484138,Local government,910,Urban,6,1,7
3060048,COUNTRY VIEW MHP,Berks,Ground water,98,4,3.60421726,2.820417449,Private,46,Urban,32,0,32
3060052,CAERNARVON TWP AUTH,Berks,Ground water,4245,15,3.099503113,5.895435239,Local government,1190,Urban,9,2,11
3060053,OLEY TWP MUNI AUTH,Berks,Ground water,2204,11,1.792884101,0,Local government,698,Urban,5,0,5
3060058,BERKS HILL ESTATES,Berks,Ground water,66,4,3.881514845,3.808245157,Private,20,Rural,11,0,11
3060059,READING AREA WATER AUTHORITY,Berks,Surface water,87000,14,9.320178805,62.42030319,Local government,28500,Urban,2,1,3
3060061,KEYSTONE EAST MHP,Berks,Ground water,450,10,2.025076739,10.56146397,Private,187,Urban,13,2,15
3060064,TEEN CHALLENGE TRNG CTR,Berks,Ground water,300,5,1.957878339,6.315745861,Public/Private,17,Rural,16,3,19
3060065,HERITAGE HILL ESTATE,Berks,Ground water,90,4,2.091393436,1.221385191,Private,34,Rural,12,1,13
3060067,SHILLINGTON MUNI AUTH,Berks,Surface water purchased,11709,8,3.039097239,10.33260572,Local government,5654,Urban,3,1,4
3060068,MILLER MOBILE HOME PARK,Berks,Ground water,30,3,2.279647815,7.426385505,Private,22,Urban,2,0,2
3060069,PAW PENN DISTRICT,Berks,Ground water,28508,34,2.73461958,16.70058931,Private,13000,Urban,0,0,0
3060070,URBAN ACRES MHP,Berks,Ground water,80,6,2.17938252,30.97685126,Private,80,Rural,0,0,0
3060072,TOPTON BORO WATER SUPPLY,Berks,Groundwater under influence of surface water,2069,9,3.843669408,6.330444379,Local government,889,Urban,26,1,27
3060073,VALLEY VIEW MHP WERNERSVILLE,Berks,Ground water,60,3,2.055723375,16.8537581,Private,21,Rural,24,1,25
3060076,WERNERSVILLE MUNI WATER AUTH,Berks,Surface water purchased,6357,22,2.803256835,15.32606303,Local government,2170,Urban,5,0,5
3060078,WEST READING BORO WATER,Berks,Surface water purchased,4300,6,6.183248422,31.9276988,Local government,1497,Urban,3,0,3
3060080,WOMELSDORF ROBESONIA JT AUTH,Berks,Ground water,7070,14,2.411789359,12.994518,Local government,2107,Urban,25,0,25
3060081,BOYERTOWN MUNI AUTH,Berks,Surface water,8000,6,2.568175184,6.256970608,Local government,3200,Urban,5,3,8
3060082,MT PENN BORO MUNI AUTH,Berks,Ground water,10400,17,5.883866852,22.14388987,Local government,3700,Urban,19,1,20
3060083,WYOMISSING BORO WATER SYSTEM,Berks,Surface water purchased,8500,16,3.336185465,14.70687981,Local government,2441,Urban,3,0,3
3060085,BERNVILLE BOROUGH,Berks,Ground water,1010,6,1.901808338,7.776421234,Local government,348,Rural,2,0,2
3060088,PAW GLEN ALSACE DIV,Berks,Surface water purchased,24951,61,3.044007075,10.46468771,Private,9069,Urban,5,1,6
3060092,BETHANY CHILDRENS HOME,Berks,Ground water,200,3,3.337096666,9.416723666,Public/Private,32,Rural,7,1,8
3060094,LUTHERAN HOME AT TOPTON,Berks,Ground water,410,8,3.22954032,0,Public/Private,54,Rural,4,1,5
3060095,MT VILLAGE MHP,Berks,Ground water,771,4,2.823604223,8.118478521,Private,261,Rural,5,0,5
3060096,LYONS BORO,Berks,Ground water,500,6,4.477568795,10.07039917,Local government,214,Rural,69,0,69
3060098,ONTELAUNEE TWP MUNI AUTH,Berks,Surface water purchased,2175,9,2.776694969,15.30744518,Local government,415,Rural,10,6,16
3060100,SHOEMAKERSVILLE BORO WATER SYS,Berks,Ground water,2150,16,2.524029385,3.302859244,Local government,687,Urban,45,1,46
3060105,LAZY K CAMPGROUND,Berks,Ground water,75,6,3.306699452,2.286997231,Private,144,Urban,50,1,51
3060106,MEADOWS AT BETHEL MHP,Berks,Ground water,50,3,1.626808202,2.597603098,Private,32,Rural,48,0,48
3060108,VILLAGE AT SUMMIT CREST,Berks,Ground water,120,4,2.219326859,17.6778678,Private,60,Urban,3,0,3
3060112,HICKORY FARM MHP,Berks,Ground water,70,3,2.154319672,14.71215835,Private,35,Urban,35,0,35
3060113,IRISH CREEK VILLAGE MHP,Berks,Ground water,90,6,3.795595816,0,Private,50,Urban,24,0,24
3060115,NORTH HEIDELBERG WATER SYSTEM,Berks,Ground water,1350,6,1.873852938,9.412757746,Local government,350,Rural,3,0,3
3060118,MOUNTAIN SPRINGS MHP,Berks,Ground water,215,8,6.465481375,11.17963111,Private,92,Rural,0,0,0
3060123,PERRY TWP MUNI AUTH,Berks,Ground water purchased,125,2,2.746632458,4.127516754,Local government,33,Urban,0,0,0
3060126,PAW GOLDEN OAKS,Berks,Ground water,100,4,2.254438818,4.202982715,Private,55,Rural,0,0,0
3060127,ABRAXAS ACADEMY,Berks,Ground water,156,4,1.997900945,8.150721457,Private,1,Rural,6,0,6
3060129,E&Y FARM APARTMENTS,Berks,Ground water,135,4,4.727150033,0,Private,66,Rural,18,0,18
3060130,WASHINGTON TWP MUNI AUTH,Berks,Ground water purchased,288,2,4.642178085,2.784835686,Local government,117,Urban,2,0,2
3060131,SK PROPERTIES LP MISTY MEADOWS,Berks,Ground water,60,4,2.158610367,5.316300442,Private,25,Rural,10,3,13
3060133,AQUA PA HILLCREST ESTATES II,Berks,Ground water,214,3,3.00886984,14.44647105,Private,66,Urban,0,0,0
3060134,AQUA PA STONECROFT,Berks,Ground water,600,4,3.647746688,6.972945351,Private,3,Rural,0,0,0
3060137,MEADOWBROOK WATER SYSTEM,Berks,Ground water,250,4,4.517285105,1.857074566,Public/Private,90,Rural,39,0,39
3061153,AQUA PA EAST POINTE,Berks,Ground water,75,3,3.019350985,16.95070878,Private,4,Urban,2,0,2
3130002,BEAVER MEADOWS BOROUGH,Carbon,Surface water purchased,968,2,3.57639314,0,Local government,340,Urban,5,0,5
3130004,LANSFORD COALDALE JT WATER AUT,Carbon,Ground water,9300,15,6.354609392,6.92156453,Local government,3500,Rural,6,1,7
3130006,NIS HOLLOW ESTATES,Carbon,Ground water,265,7,2.580223383,6.24574259,Private,128,Rural,17,5,22
3130008,MAHONING VALLEY CONVALESCENT H,Carbon,Ground water,145,6,3.624268267,7.523920763,Private,145,Rural,28,0,28
3130009,LEHIGHTON WATER AUTHORITY,Carbon,Surface water,9000,8,4.068366197,6.298982478,Local government,3541,Urban,14,0,14
3130011,CHESTNUT RIDGE MHP,Carbon,Ground water,152,5,2.513165042,4.322495289,Private,54,Rural,8,0,8
3130012,PALMERTON MUNICIPAL AUTHORITY,Carbon,Ground water,7000,11,3.633764168,7.662551908,Private,2188,Urban,3,0,3
3130013,SUMMIT HILL WATER AUTHORITY,Carbon,Ground water,2890,7,7.112294735,12.87373257,Local government,1284,Urban,2,0,2
3130015,WEATHERLY BORO MUN AUTH,Carbon,Ground water,2612,11,1.413706043,6.183634205,Local government,965,Rural,28,0,28
3130017,SPRINGHILL MOBILE HOME PARK,Carbon,Ground water,130,4,2.62302035,0,Private,45,Rural,0,2,2
3130021,BOWMANSTOWN AUTHORITY,Carbon,Ground water,900,13,2.442673587,7.660327662,Local government,342,Urban,53,0,53
3130026,NESQUEHONING BORO WATER AUTH,Carbon,Ground water,2850,11,6.114725703,12.07953225,Local government,1322,Rural,4,0,4
3130027,CREEKSIDE MANOR M H P,Carbon,Ground water,92,3,3.564566299,4.898928176,Private,38,Rural,1,0,1
3130029,WEINERS MHP,Carbon,Ground water,90,5,3.320298839,9.312575408,Private,37,Urban,32,0,32
3130030,D WATER COMPANY,Carbon,Ground water,150,3,3.559830244,8.840607211,Private,24,Urban,23,3,26
3130037,MID LAKES DEVELOPMENT,Carbon,Ground water,490,3,4.284738707,32.40608695,Private,245,Rural,2,0,2
3130038,BEAVER RUN WATER ASSOCIATION,Carbon,Ground water,50,8,3.571707246,27.50172456,Private,65,Urban,17,1,18
3130040,BLUE HERON HOMEOWNERS ASSOC,Carbon,Ground water,450,3,5.027394358,38.05800077,Private,126,Rural,3,0,3
3130043,JIM THORPE BOROUGH WATER EAST,Carbon,Ground water,2853,5,4.655134568,2.664093227,Local government,960,Urban,33,0,33
3130044,JIM THORPE BOROUGH WATER WEST,Carbon,Surface water,2274,4,4.723335016,5.725922464,Local government,750,Urban,44,5,49
3130049,CARBON COUNTY CORRECTIONAL FAC,Carbon,Ground water,125,3,5.254751668,8.066455999,Local government,1,Rural,3,0,3
3130050,BLUE MOUNTAIN VIEW,Carbon,Ground water,114,3,2.514997431,4.660801899,Private,50,Rural,39,0,39
3130051,NORTHSIDE HEIGHTS ESTATES,Carbon,Ground water,461,3,2.476508996,4.904158859,Private,228,Rural,2,0,2
3130053,SUMMIT MANAGEMENT UTILITIES,Carbon,Ground water,500,7,5.376343176,25.99548235,Private,150,Rural,125,3,128
3130054,AQUA PA GOLDEN OAKS,Carbon,Ground water,132,3,1.707937566,0,Private,100,Rural,2,0,2
3390001,OSSIES MOBILE HOME COMMUNITY,Lehigh,Ground water,40,3,4.77638173,15.73544858,Private,25,Urban,13,0,13
3390005,VALLEY VIEW ESTATES,Lehigh,Ground water,68,3,1.140709934,24.61435098,Private,50,Urban,41,0,41
3390010,BIG O MOBILE HOME PARK,Lehigh,Ground water,64,5,2.736671746,21.3174717,Private,38,Urban,21,0,21
3390011,HEIDELBERG ACRES MHP,Lehigh,Ground water,90,4,2.113427076,4.221732674,Private,32,Rural,8,1,9
3390018,KEYSTONE MOBILE HOME PARK,Lehigh,Ground water,375,5,3.620818481,1.433773205,Private,150,Urban,7,2,9
3390020,GLENCREST MOBILE HOME PARK,Lehigh,Ground water,570,5,1.331321722,3.559864575,Private,276,Urban,4,0,4
3390024,LCA ALLENTOWN DIVISION,Lehigh,Surface water,118000,16,6.299494465,47.81317426,Local government,33167,Urban,3,0,3
3390028,AQUA PA COUNTRY CLUB GARDENS,Lehigh,Ground water,268,9,3.372770294,4.418985163,Private,103,Urban,4,1,5
3390031,TERRYHILL ESTATES MHP,Lehigh,Ground water,90,3,2.020607824,23.49152444,Private,48,Rural,22,2,24
3390032,EMMAUS BOROUGH PUBLIC WATER,Lehigh,Ground water,14000,19,3.966701118,8.536700607,Local government,4740,Urban,33,0,33
3390033,MACUNGIE BOROUGH AUTHORITY,Lehigh,Ground water,3039,7,6.148006573,13.79345409,Local government,1161,Urban,1,0,1
3390035,LCA BEVERLY HILLS DIVISION,Lehigh,Ground water,122,3,1.232535846,7.232662973,Local government,45,Urban,2,0,2
3390036,GRIMS MOBILE HOME COURT,Lehigh,Ground water,40,6,3.532155276,4.156394104,Private,24,Rural,7,0,7
3390039,SLATINGTON BOROUGH WATER SYS,Lehigh,Surface water,4450,10,5.386095576,7.998377588,Local government,1465,Urban,14,0,14
3390044,CATASAUQUA MUN WATER WORKS,Lehigh,Surface water purchased,6598,8,5.350144826,16.16425851,Local government,2276,Urban,24,0,24
3390045,ALBURTIS BOROUGH AUTHORITY,Lehigh,Ground water,2117,13,2.501660179,22.98032881,Local government,816,Urban,3,0,3
3390046,COOPERSBURG MUN WATER AUTH,Lehigh,Ground water,2570,8,2.092639084,6.479994959,Local government,918,Urban,2,0,2
3390047,LCA HEIDELBERG HEIGHTS DIV,Lehigh,Ground water,509,11,2.023424764,3.355276189,Local government,186,Urban,6,1,7
3390049,AQUA PA MAPLE HILLS,Lehigh,Ground water,164,7,2.798836883,14.14650573,Private,63,Urban,2,1,3
3390055,LCA NORTH WHITEHALL DIVISION,Lehigh,Surface water purchased,2910,22,3.528079879,5.581475119,Local government,917,Urban,1,0,1
3390062,SALISBURY TWP WATER SYSTEM,Lehigh,Surface water purchased,8742,12,4.384438286,17.6563461,Local government,3263,Urban,3,0,3
3390065,SWTA - MAIN SYSTEM,Lehigh,Surface water purchased,14500,43,3.834214315,18.1404169,Local government,5902,Urban,63,6,69
3390068,AQUA PA SPRINGHOUSE FARMS,Lehigh,Ground water,645,9,4.054311631,21.71029965,Private,248,Urban,30,0,30
3390073,LCA WLSA CENTRAL DIVISION,Lehigh,Surface water purchased,47508,70,1.922739402,19.79981526,Local government,15600,Urban,1,0,1
3390075,LCA EMMAUS CONSECUTIVE DIV,Lehigh,Ground water purchased,1046,7,3.75907889,4.216106945,Local government,416,Urban,0,0,0
3390076,LCA UPPER MILFORD CENTRAL DIV,Lehigh,Ground water,256,7,3.097875571,7.829934201,Local government,101,Urban,1,0,1
3390077,UPPER SAUCON TWP WATER SUPPLY,Lehigh,Surface water purchased,7300,16,2.570833628,18.33794248,Local government,2065,Urban,11,0,11
3390078,LCA WASHINGTON TOWNSHIP DIV,Lehigh,Surface water purchased,965,3,1.596551383,7.18482901,Local government,365,Rural,0,0,0
3390079,KEN-MAN WATER CO,Lehigh,Ground water,475,6,3.716529637,5.693770835,Private,217,Urban,367,0,367
3390080,LCA MILL CREEK DIVISION,Lehigh,Ground water,89,4,1.560476263,4.330149942,Local government,35,Urban,3,0,3
3390081,WHITEHALL TWP AUTHORITY,Lehigh,Ground water,13063,31,4.40210329,30.83165015,Local government,2741,Urban,0,0,0
3390085,LCA PINE LAKES DIVISION,Lehigh,Ground water,158,5,2.820683313,3.533257157,Local government,61,Rural,1,0,1
3390089,LIL WOLF MHP,Lehigh,Ground water,600,5,4.686999017,14.00618062,Private,271,Urban,7,0,7
3390090,GREEN ACRES MHC,Lehigh,Ground water,1475,5,1.758366854,30.11300351,Private,590,Urban,5,0,5
3390091,WOODSIDE MOBILE HOME PARK,Lehigh,Ground water,130,3,5.089969766,16.22040675,Private,52,Urban,5,0,5
3390093,DESALES UNIVERSITY,Lehigh,Ground water,2000,6,4.79457557,12.13193255,Public/Private,42,Urban,0,0,0
3390097,HANOVER TOWNSHIP LEHIGH COUNTY,Lehigh,Surface water purchased,520,4,6.233047971,35.65135301,Local government,96,Urban,8,0,8
3390111,LCA UPPER MILFORD DIVISION,Lehigh,Ground water,185,4,5.488351258,8.421243023,Local government,72,Urban,0,1,1
3390113,MOUNT TREXLER MANOR,Lehigh,Ground water,90,3,1.378242347,11.41471095,Private,1,Rural,9,2,11
3390115,LCA MADISON NORTH DIVISION,Lehigh,Ground water,290,3,3.703710665,3.368098593,Private,116,Rural,0,0,0
3480006,GREEN ACRES MOBILE HOME PARK,Northampton,Ground water,48,4,4.739573628,35.82447118,Private,26,Urban,7,1,8
3480007,DEL-AIRE MOBILE HOME PARK,Northampton,Ground water,33,4,4.397328726,31.21442364,Private,21,Urban,3,0,3
3480008,MEADOWBROOK MOBILE HOMES,Northampton,Ground water,40,4,3.558518523,7.948910419,Private,21,Urban,6,0,6
3480011,DRIFTWOOD COURT,Northampton,Ground water,53,3,4.358384857,7.82235356,Private,30,Urban,0,0,0
3480012,SCHWEPS MOBILE HOME PARK,Northampton,Ground water,90,4,1.249160062,23.66224354,Private,57,Urban,29,0,29
3480013,THE ORCHARD AT AIRPORT ROAD,Northampton,Ground water,37,5,3.640397209,8.27804996,Private,25,Urban,2,1,3
3480015,HICKORY HILLS MHC,Northampton,Ground water,800,6,1.674043487,0,Private,354,Urban,4,0,4
3480021,BETH EAST ALLEN GDNS,Northampton,Ground water,192,6,2.187338137,8.317261563,Local government,73,Rural,6,1,7
3480022,BETH SHADY LANE SYSTEM,Northampton,Ground water,61,3,3.162945439,5.254769178,Local government,23,Rural,1,1,2
3480024,UTILITIES INC WESTGATE,Northampton,Surface water purchased,2032,9,5.933793631,34.60420215,Private,760,Urban,5,1,6
3480027,LOWER SAUCON AUTHORITY,Northampton,Surface water purchased,5653,14,3.381684489,17.5525879,Local government,2166,Urban,2,0,2
