PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
2640004,SUNRISE TERRACE MOBILE HOME PK,Wayne,Ground water,144,6,8.9,12.9,Private,70,Rural,1,0,1
2640006,NEVILLES MOBILE HOME COURT,Wayne,Ground water,85,3,8.9,12.9,Private,34,Rural,4,0,4
2640008,LAKESIDE MOBILE HOME PARK,Wayne,Ground water,48,5,8.9,12.9,Private,19,Rural,2,1,3
2640010,CHERRY HILL AT HOLIDAY PARK,Wayne,Ground water,100,3,8.9,12.9,Private,42,Rural,2,5,7
2640012,CANAL MOBILE HOME PARK,Wayne,Ground water,200,6,8.9,12.9,Private,50,Rural,4,0,4
2640014,THE DEVEREUX FOUNDATION,Wayne,Ground water,115,5,8.9,12.9,Private,4,Rural,1,1,2
2640015,PORT FLORENCE DEVELOPMENT,Wayne,Ground water,100,7,8.9,12.9,Private,20,Rural,1,0,1
2640017,AQUA PA GARDEN HILLS,Wayne,Ground water,90,4,8.9,12.9,Private,41,Rural,1,0,1
2640018,AQUA PA HONESDALE,Wayne,Ground water,5500,17,8.9,12.9,Private,2374,Rural,2,1,3
2640019,HILLTOP VILLAGE ASSOCIATION,Wayne,Ground water,86,12,8.9,12.9,Private,45,Rural,2,3,5
2640020,AQUA PA WATER CO SCI WAYMART,Wayne,Ground water,3200,9,8.9,12.9,Private,4,Rural,1,0,1
2640022,AQUA PA GOULDSBORO,Wayne,Ground water,350,3,8.9,12.9,Private,141,Rural,2,0,2
2640023,LAKE WALLENPAUPACK SANDY SHORE,Wayne,Ground water,499,12,8.9,12.9,Private,170,Rural,4,1,5
2640024,CHERRY HILL MOBILE HOME COURT,Wayne,Ground water,86,4,8.9,12.9,Private,38,Rural,1,4,5
2640025,ROAMINGWOOD SEWER AND WATER,Wayne,Ground water,7105,15,8.9,12.9,Private,3046,Rural,23,4,27
2640028,AQUA PA WATER CO HAWLEY,Wayne,Ground water,1800,14,8.9,12.9,Private,806,Rural,1,1,2
2640031,AQUA PA WAYNE COUNTY PRISON,Wayne,Ground water,160,3,8.9,12.9,Private,1,Rural,1,0,1
2640032,AQUA PA WATER CO  WAYMART,Wayne,Ground water,1100,14,8.9,12.9,Private,415,Rural,2,0,2
2640036,WALLENPAUPACK LAKE ESTATES,Wayne,Ground water,2200,15,8.9,12.9,Private,955,Rural,28,1,29
2640042,ARNOLD APARTMENTS,Wayne,Ground water,44,3,8.9,12.9,Private,19,Rural,17,5,22
2640044,HAMLIN WATER COMPANY,Wayne,Ground water,400,5,8.9,12.9,Private,90,Rural,33,3,36
2640046,SABER HEALTH CARE GROUP,Wayne,Ground water,200,3,8.9,12.9,Private,1,Rural,89,0,89
2640047,PAW INDIAN ROCKS,Wayne,Ground water,1100,16,8.9,12.9,Private,404,Rural,3,2,5
2640048,AQUA PA PAUPACKAN LAKE ESTATES,Wayne,Ground water,800,18,8.9,12.9,Private,400,Rural,2,1,3
2640049,PINE GROVE ESTATES,Wayne,Ground water,263,14,8.9,12.9,Private,120,Rural,19,1,20
2640050,RYAN HILL DEVELOPMENT,Wayne,Ground water,75,3,8.9,12.9,Private,25,Rural,2,0,2
2640051,WOODLAND HILLS,Wayne,Ground water,320,8,8.9,12.9,Private,125,Rural,15,2,17
2640052,PARADISE POINT,Wayne,Ground water,300,4,8.9,12.9,Private,150,Rural,69,0,69
2640054,SALEM HEIGHTS ESTATES,Wayne,Ground water,62,3,8.9,12.9,Private,40,Rural,621,16,637
2640055,WOODLYN RESIDENCES,Wayne,Ground water,35,3,8.9,12.9,Private,14,Rural,35,0,35
2640056,MOUNTAIN CREST DEVELOPMENT,Wayne,Ground water,44,2,8.9,12.9,Private,16,Rural,5,0,5
2640057,HIMALAYAN INSTITUTE,Wayne,Ground water,124,8,8.9,12.9,Public/Private,14,Rural,101,4,105
2640063,BUCKINGHAM ESTATES,Wayne,Ground water,57,3,8.9,12.9,Private,29,Rural,1,0,1
2640064,HOLLISTER HEIGHTS MHP,Wayne,Ground water,60,3,8.9,12.9,Private,22,Rural,3,0,3
2640065,BETHANY VILLAGE,Wayne,Ground water,99,3,8.9,12.9,Private,4,Rural,64,0,64
2640703,ASPEN RIDGE POA,Wayne,Ground water,100,3,8.9,12.9,Local government,38,Rural,12,2,14
2660004,WINOLA WATER CO,Wyoming,Ground water,130,5,4.2,11,Private,45,Rural,98,0,98
2660008,COPPER KETTLE MHP,Wyoming,Ground water,62,3,4.2,11,Private,27,Rural,1,0,1
2660010,MESHOPPEN BOROUGH WATER CO,Wyoming,Ground water,563,6,4.2,11,Local government,186,Rural,15,1,16
2660011,NICHOLSON BORO AUTH,Wyoming,Ground water,1000,5,4.2,11,Local government,234,Rural,5,1,6
2660012,SUEZ WATER PA NOXEN,Wyoming,Ground water,315,3,4.2,11,Private,105,Rural,0,0,0
2660014,TUNKHANNOCK BORO MUNIC AUTH,Wyoming,Ground water,5349,14,4.2,11,Local government,835,Rural,5,0,5
2660015,WESTGATE WATER SYSTEM,Wyoming,Ground water,150,4,4.2,11,Local government,43,Rural,34,0,34
2660016,AQUA PA WASHINGTON PARK,Wyoming,Ground water,300,10,4.2,11,Private,156,Rural,10,0,10
2660017,AQUA PA RIVERCREST,Wyoming,Ground water,542,6,4.2,11,Private,215,Rural,8,0,8
2660018,AQUA PA BUNKER HILL,Wyoming,Ground water,210,4,4.2,11,Private,66,Rural,5,0,5
2660019,LACEYVILLE WATER CO,Wyoming,Ground water,415,5,4.2,11,Local government,163,Rural,7,0,7
2660020,MEHOOPANY TWP MUNICIPAL AUTH,Wyoming,Ground water,85,4,4.2,11,Private,31,Rural,3,0,3
2660023,MT AIRY LAKEVIEW ESTATES,Wyoming,Ground water,35,4,4.2,11,Private,24,Rural,5,0,5
2660024,DYMONDS MHP,Wyoming,Ground water,90,3,4.2,11,Private,36,Rural,40,0,40
2660027,COOKS MHP,Wyoming,Ground water,92,11,4.2,11,Private,42,Rural,83,2,85
2660031,OAKWOOD LAKE VILLAGE MHP,Wyoming,Ground water,273,3,4.2,11,Private,79,Rural,33,0,33
2660033,CLARENDON ACRES WATER CO,Wyoming,Ground water,280,8,4.2,11,Private,68,Rural,158,0,158
2660034,MAPLEWOOD HEIGHTS,Wyoming,Ground water,35,3,4.2,11,Private,14,Rural,3,1,4
2660035,VILLAGE OF MTN HEIGHTS,Wyoming,Ground water,54,3,4.2,11,Private,18,Rural,6,1,7
2660036,AQUA PA FACTORYVILLE,Wyoming,Ground water,2323,6,4.2,11,Private,221,Rural,6,0,6
2660037,FREEMANS MHP,Wyoming,Ground water,83,3,4.2,11,Private,42,Rural,39,0,39
2660039,EATON SEWER & WATER CO,Wyoming,Ground water,3100,4,4.2,11,Private,98,Rural,11,0,11
2660042,WHITES FERRY ROAD APTS,Wyoming,Ground water,39,4,4.2,11,Public/Private,12,Rural,5,0,5
2660043,OLD ORCHARD APTS,Wyoming,Ground water,38,4,4.2,11,Public/Private,11,Rural,7,0,7
2660044,MESHOPPEN TOWNHOUSE APTS,Wyoming,Ground water,65,4,4.2,11,Public/Private,26,Rural,7,0,7
2660047,WINOLA VIEW APTS,Wyoming,Ground water,28,3,4.2,11,Local government,24,Rural,15,0,15
2660050,SCHOOLHOUSE HILL APTS,Wyoming,Ground water,38,3,4.2,11,Public/Private,20,Rural,56,1,57
3060002,BALLY MUNI WATER WORKS,Berks,Ground water,1090,8,25.3,14.2,Local government,458,Urban,2,0,2
3060004,WOODLAND MHP,Berks,Ground water,61,4,25.3,14.2,Private,39,Urban,6,2,8
3060005,GEISINGERS MHP,Berks,Ground water,90,6,25.3,14.2,Private,48,Urban,3,0,3
3060010,BIRDSBORO MUNI WATER AUTH,Berks,Surface water,5353,7,25.3,14.2,Local government,2005,Urban,8,6,14
3060012,MAIDENCREEK TWP WATER AUTH,Berks,Ground water,7505,12,25.3,14.2,Local government,2607,Urban,4,0,4
3060013,MAXATAWNY TWP MUNI AUTH,Berks,Ground water,425,5,25.3,14.2,Private,136,Urban,17,1,18
3060016,LENAPE HILLS TRAILER PARK,Berks,Ground water,44,3,25.3,14.2,Private,18,Urban,282,4,286
3060018,AQUA PA FLYING HILLS WA SYS,Berks,Ground water,3600,10,25.3,14.2,Private,1424,Urban,0,1,1
3060026,PARK PLACE COURT,Berks,Ground water,29,4,25.3,14.2,Private,19,Urban,44,0,44
3060028,VALLEY VIEW MHP BLANDON,Berks,Ground water,50,3,25.3,14.2,Private,30,Urban,3,0,3
3060029,FLEETWOOD BORO WATER SYSTEM,Berks,Ground water,4218,40,25.3,14.2,Local government,1694,Urban,25,0,25
3060030,AQUA PA GEIGERTOWN WATER SYS,Berks,Ground water,200,6,25.3,14.2,Private,75,Urban,1,0,1
3060031,LAUREL HEALTH RESOURCES,Berks,Ground water,240,7,25.3,14.2,Private,2,Urban,1,0,1
3060032,VILLAGE OF PLEASANT HILL,Berks,Ground water,1200,7,25.3,14.2,Private,354,Urban,4,1,5
3060034,LE MA KE DE MOBILE CT,Berks,Ground water,90,3,25.3,14.2,Private,50,Urban,3,0,3
3060035,HAMBURG MUNI WATER&SEWER AUTH,Berks,Surface water,4990,11,25.3,14.2,Local government,2229,Urban,11,3,14
3060036,WILL O HILL APTS,Berks,Ground water,300,4,25.3,14.2,Private,190,Urban,4,0,4
3060037,HEREFORD EST MHP,Berks,Ground water,710,4,25.3,14.2,Private,344,Urban,3,0,3
3060038,MUHLENBERG TWP MUNI AUTH,Berks,Ground water,21000,38,25.3,14.2,Local government,7851,Urban,8,2,10
3060040,BERKLEIGH HEIGHTS MHP INC,Berks,Ground water,95,7,25.3,14.2,Private,47,Urban,25,1,26
3060041,KUTZTOWN BOROUGH WATER,Berks,Groundwater under influence of surface water,14200,6,25.3,14.2,Local government,1902,Urban,0,0,0
3060042,GREEN ACRES MHP,Berks,Ground water,47,3,25.3,14.2,Private,18,Urban,2,0,2
3060043,HIGHLAND EST MHP,Berks,Ground water,1050,12,25.3,14.2,Private,271,Urban,0,0,0
3060044,SITTLERS MHP,Berks,Ground water,89,8,25.3,14.2,Private,49,Urban,74,6,80
3060045,BERN TWP MUNI AUTH,Berks,Surface water purchased,1800,7,25.3,14.2,Local government,336,Urban,2,0,2
3060047,LEESPORT BORO WATER AUTH,Berks,Ground water,2200,15,25.3,14.2,Local government,910,Urban,6,1,7
3060048,COUNTRY VIEW MHP,Berks,Ground water,98,4,25.3,14.2,Private,46,Urban,32,0,32
3060052,CAERNARVON TWP AUTH,Berks,Ground water,4245,15,25.3,14.2,Local government,1190,Urban,9,2,11
3060053,OLEY TWP MUNI AUTH,Berks,Ground water,2204,11,25.3,14.2,Local government,698,Urban,5,0,5
3060058,BERKS HILL ESTATES,Berks,Ground water,66,4,25.3,14.2,Private,20,Urban,11,0,11
3060059,READING AREA WATER AUTHORITY,Berks,Surface water,87000,14,25.3,14.2,Local government,28500,Urban,2,1,3
3060061,KEYSTONE EAST MHP,Berks,Ground water,450,10,25.3,14.2,Private,187,Urban,13,2,15
3060064,TEEN CHALLENGE TRNG CTR,Berks,Ground water,300,5,25.3,14.2,Public/Private,17,Urban,16,3,19
3060065,HERITAGE HILL ESTATE,Berks,Ground water,90,4,25.3,14.2,Private,34,Urban,12,1,13
3060067,SHILLINGTON MUNI AUTH,Berks,Surface water purchased,11709,8,25.3,14.2,Local government,5654,Urban,3,1,4
3060068,MILLER MOBILE HOME PARK,Berks,Ground water,30,3,25.3,14.2,Private,22,Urban,2,0,2
3060069,PAW PENN DISTRICT,Berks,Ground water,28508,34,25.3,14.2,Private,13000,Urban,0,0,0
3060070,URBAN ACRES MHP,Berks,Ground water,80,6,25.3,14.2,Private,80,Urban,0,0,0
3060072,TOPTON BORO WATER SUPPLY,Berks,Groundwater under influence of surface water,2069,9,25.3,14.2,Local government,889,Urban,26,1,27
3060073,VALLEY VIEW MHP WERNERSVILLE,Berks,Ground water,60,3,25.3,14.2,Private,21,Urban,24,1,25
3060076,WERNERSVILLE MUNI WATER AUTH,Berks,Surface water purchased,6357,22,25.3,14.2,Local government,2170,Urban,5,0,5
3060078,WEST READING BORO WATER,Berks,Surface water purchased,4300,6,25.3,14.2,Local government,1497,Urban,3,0,3
3060080,WOMELSDORF ROBESONIA JT AUTH,Berks,Ground water,7070,14,25.3,14.2,Local government,2107,Urban,25,0,25
3060081,BOYERTOWN MUNI AUTH,Berks,Surface water,8000,6,25.3,14.2,Local government,3200,Urban,5,3,8
3060082,MT PENN BORO MUNI AUTH,Berks,Ground water,10400,17,25.3,14.2,Local government,3700,Urban,19,1,20
3060083,WYOMISSING BORO WATER SYSTEM,Berks,Surface water purchased,8500,16,25.3,14.2,Local government,2441,Urban,3,0,3
3060085,BERNVILLE BOROUGH,Berks,Ground water,1010,6,25.3,14.2,Local government,348,Urban,2,0,2
3060088,PAW GLEN ALSACE DIV,Berks,Surface water purchased,24951,61,25.3,14.2,Private,9069,Urban,5,1,6
3060092,BETHANY CHILDRENS HOME,Berks,Ground water,200,3,25.3,14.2,Public/Private,32,Urban,7,1,8
3060094,LUTHERAN HOME AT TOPTON,Berks,Ground water,410,8,25.3,14.2,Public/Private,54,Urban,4,1,5
3060095,MT VILLAGE MHP,Berks,Ground water,771,4,25.3,14.2,Private,261,Urban,5,0,5
3060096,LYONS BORO,Berks,Ground water,500,6,25.3,14.2,Local government,214,Urban,69,0,69
3060098,ONTELAUNEE TWP MUNI AUTH,Berks,Surface water purchased,2175,9,25.3,14.2,Local government,415,Urban,10,6,16
3060100,SHOEMAKERSVILLE BORO WATER SYS,Berks,Ground water,2150,16,25.3,14.2,Local government,687,Urban,45,1,46
3060105,LAZY K CAMPGROUND,Berks,Ground water,75,6,25.3,14.2,Private,144,Urban,50,1,51
3060106,MEADOWS AT BETHEL MHP,Berks,Ground water,50,3,25.3,14.2,Private,32,Urban,48,0,48
3060108,VILLAGE AT SUMMIT CREST,Berks,Ground water,120,4,25.3,14.2,Private,60,Urban,3,0,3
3060112,HICKORY FARM MHP,Berks,Ground water,70,3,25.3,14.2,Private,35,Urban,35,0,35
3060113,IRISH CREEK VILLAGE MHP,Berks,Ground water,90,6,25.3,14.2,Private,50,Urban,24,0,24
3060115,NORTH HEIDELBERG WATER SYSTEM,Berks,Ground water,1350,6,25.3,14.2,Local government,350,Urban,3,0,3
3060118,MOUNTAIN SPRINGS MHP,Berks,Ground water,215,8,25.3,14.2,Private,92,Urban,0,0,0
3060123,PERRY TWP MUNI AUTH,Berks,Ground water purchased,125,2,25.3,14.2,Local government,33,Urban,0,0,0
3060126,PAW GOLDEN OAKS,Berks,Ground water,100,4,25.3,14.2,Private,55,Urban,0,0,0
3060127,ABRAXAS ACADEMY,Berks,Ground water,156,4,25.3,14.2,Private,1,Urban,6,0,6
3060129,E&Y FARM APARTMENTS,Berks,Ground water,135,4,25.3,14.2,Private,66,Urban,18,0,18
3060130,WASHINGTON TWP MUNI AUTH,Berks,Ground water purchased,288,2,25.3,14.2,Local government,117,Urban,2,0,2
3060131,SK PROPERTIES LP MISTY MEADOWS,Berks,Ground water,60,4,25.3,14.2,Private,25,Urban,10,3,13
3060133,AQUA PA HILLCREST ESTATES II,Berks,Ground water,214,3,25.3,14.2,Private,66,Urban,0,0,0
3060134,AQUA PA STONECROFT,Berks,Ground water,600,4,25.3,14.2,Private,3,Urban,0,0,0
3060137,MEADOWBROOK WATER SYSTEM,Berks,Ground water,250,4,25.3,14.2,Public/Private,90,Urban,39,0,39
3061153,AQUA PA EAST POINTE,Berks,Ground water,75,3,25.3,14.2,Private,4,Urban,2,0,2
3130002,BEAVER MEADOWS BOROUGH,Carbon,Surface water purchased,968,2,7.2,10.9,Local government,340,Urban,5,0,5
3130004,LANSFORD COALDALE JT WATER AUT,Carbon,Ground water,9300,15,7.2,10.9,Local government,3500,Urban,6,1,7
3130006,NIS HOLLOW ESTATES,Carbon,Ground water,265,7,7.2,10.9,Private,128,Urban,17,5,22
3130008,MAHONING VALLEY CONVALESCENT H,Carbon,Ground water,145,6,7.2,10.9,Private,145,Urban,28,0,28
3130009,LEHIGHTON WATER AUTHORITY,Carbon,Surface water,9000,8,7.2,10.9,Local government,3541,Urban,14,0,14
3130011,CHESTNUT RIDGE MHP,Carbon,Ground water,152,5,7.2,10.9,Private,54,Urban,8,0,8
3130012,PALMERTON MUNICIPAL AUTHORITY,Carbon,Ground water,7000,11,7.2,10.9,Private,2188,Urban,3,0,3
3130013,SUMMIT HILL WATER AUTHORITY,Carbon,Ground water,2890,7,7.2,10.9,Local government,1284,Urban,2,0,2
3130015,WEATHERLY BORO MUN AUTH,Carbon,Ground water,2612,11,7.2,10.9,Local government,965,Urban,28,0,28
3130017,SPRINGHILL MOBILE HOME PARK,Carbon,Ground water,130,4,7.2,10.9,Private,45,Urban,0,2,2
3130021,BOWMANSTOWN AUTHORITY,Carbon,Ground water,900,13,7.2,10.9,Local government,342,Urban,53,0,53
3130026,NESQUEHONING BORO WATER AUTH,Carbon,Ground water,2850,11,7.2,10.9,Local government,1322,Urban,4,0,4
3130027,CREEKSIDE MANOR M H P,Carbon,Ground water,92,3,7.2,10.9,Private,38,Urban,1,0,1
3130029,WEINERS MHP,Carbon,Ground water,90,5,7.2,10.9,Private,37,Urban,32,0,32
3130030,D WATER COMPANY,Carbon,Ground water,150,3,7.2,10.9,Private,24,Urban,23,3,26
3130037,MID LAKES DEVELOPMENT,Carbon,Ground water,490,3,7.2,10.9,Private,245,Urban,2,0,2
3130038,BEAVER RUN WATER ASSOCIATION,Carbon,Ground water,50,8,7.2,10.9,Private,65,Urban,17,1,18
3130040,BLUE HERON HOMEOWNERS ASSOC,Carbon,Ground water,450,3,7.2,10.9,Private,126,Urban,3,0,3
3130043,JIM THORPE BOROUGH WATER EAST,Carbon,Ground water,2853,5,7.2,10.9,Local government,960,Urban,33,0,33
3130044,JIM THORPE BOROUGH WATER WEST,Carbon,Surface water,2274,4,7.2,10.9,Local government,750,Urban,44,5,49
3130049,CARBON COUNTY CORRECTIONAL FAC,Carbon,Ground water,125,3,7.2,10.9,Local government,1,Urban,3,0,3
3130050,BLUE MOUNTAIN VIEW,Carbon,Ground water,114,3,7.2,10.9,Private,50,Urban,39,0,39
3130051,NORTHSIDE HEIGHTS ESTATES,Carbon,Ground water,461,3,7.2,10.9,Private,228,Urban,2,0,2
3130053,SUMMIT MANAGEMENT UTILITIES,Carbon,Ground water,500,7,7.2,10.9,Private,150,Urban,125,3,128
3130054,AQUA PA GOLDEN OAKS,Carbon,Ground water,132,3,7.2,10.9,Private,100,Urban,2,0,2
3390001,OSSIES MOBILE HOME COMMUNITY,Lehigh,Ground water,40,3,31.5,13.1,Private,25,Urban,13,0,13
3390005,VALLEY VIEW ESTATES,Lehigh,Ground water,68,3,31.5,13.1,Private,50,Urban,41,0,41
3390010,BIG O MOBILE HOME PARK,Lehigh,Ground water,64,5,31.5,13.1,Private,38,Urban,21,0,21
3390011,HEIDELBERG ACRES MHP,Lehigh,Ground water,90,4,31.5,13.1,Private,32,Urban,8,1,9
3390018,KEYSTONE MOBILE HOME PARK,Lehigh,Ground water,375,5,31.5,13.1,Private,150,Urban,7,2,9
3390020,GLENCREST MOBILE HOME PARK,Lehigh,Ground water,570,5,31.5,13.1,Private,276,Urban,4,0,4
3390024,LCA ALLENTOWN DIVISION,Lehigh,Surface water,118000,16,31.5,13.1,Local government,33167,Urban,3,0,3
3390028,AQUA PA COUNTRY CLUB GARDENS,Lehigh,Ground water,268,9,31.5,13.1,Private,103,Urban,4,1,5
3390031,TERRYHILL ESTATES MHP,Lehigh,Ground water,90,3,31.5,13.1,Private,48,Urban,22,2,24
3390032,EMMAUS BOROUGH PUBLIC WATER,Lehigh,Ground water,14000,19,31.5,13.1,Local government,4740,Urban,33,0,33
3390033,MACUNGIE BOROUGH AUTHORITY,Lehigh,Ground water,3039,7,31.5,13.1,Local government,1161,Urban,1,0,1
3390035,LCA BEVERLY HILLS DIVISION,Lehigh,Ground water,122,3,31.5,13.1,Local government,45,Urban,2,0,2
3390036,GRIMS MOBILE HOME COURT,Lehigh,Ground water,40,6,31.5,13.1,Private,24,Urban,7,0,7
3390039,SLATINGTON BOROUGH WATER SYS,Lehigh,Surface water,4450,10,31.5,13.1,Local government,1465,Urban,14,0,14
3390044,CATASAUQUA MUN WATER WORKS,Lehigh,Surface water purchased,6598,8,31.5,13.1,Local government,2276,Urban,24,0,24
3390045,ALBURTIS BOROUGH AUTHORITY,Lehigh,Ground water,2117,13,31.5,13.1,Local government,816,Urban,3,0,3
3390046,COOPERSBURG MUN WATER AUTH,Lehigh,Ground water,2570,8,31.5,13.1,Local government,918,Urban,2,0,2
3390047,LCA HEIDELBERG HEIGHTS DIV,Lehigh,Ground water,509,11,31.5,13.1,Local government,186,Urban,6,1,7
3390049,AQUA PA MAPLE HILLS,Lehigh,Ground water,164,7,31.5,13.1,Private,63,Urban,2,1,3
3390055,LCA NORTH WHITEHALL DIVISION,Lehigh,Surface water purchased,2910,22,31.5,13.1,Local government,917,Urban,1,0,1
3390062,SALISBURY TWP WATER SYSTEM,Lehigh,Surface water purchased,8742,12,31.5,13.1,Local government,3263,Urban,3,0,3
3390065,SWTA - MAIN SYSTEM,Lehigh,Surface water purchased,14500,43,31.5,13.1,Local government,5902,Urban,63,6,69
3390068,AQUA PA SPRINGHOUSE FARMS,Lehigh,Ground water,645,9,31.5,13.1,Private,248,Urban,30,0,30
3390073,LCA WLSA CENTRAL DIVISION,Lehigh,Surface water purchased,47508,70,31.5,13.1,Local government,15600,Urban,1,0,1
3390075,LCA EMMAUS CONSECUTIVE DIV,Lehigh,Ground water purchased,1046,7,31.5,13.1,Local government,416,Urban,0,0,0
3390076,LCA UPPER MILFORD CENTRAL DIV,Lehigh,Ground water,256,7,31.5,13.1,Local government,101,Urban,1,0,1
3390077,UPPER SAUCON TWP WATER SUPPLY,Lehigh,Surface water purchased,7300,16,31.5,13.1,Local government,2065,Urban,11,0,11
3390078,LCA WASHINGTON TOWNSHIP DIV,Lehigh,Surface water purchased,965,3,31.5,13.1,Local government,365,Urban,0,0,0
3390079,KEN-MAN WATER CO,Lehigh,Ground water,475,6,31.5,13.1,Private,217,Urban,367,0,367
3390080,LCA MILL CREEK DIVISION,Lehigh,Ground water,89,4,31.5,13.1,Local government,35,Urban,3,0,3
3390081,WHITEHALL TWP AUTHORITY,Lehigh,Ground water,13063,31,31.5,13.1,Local government,2741,Urban,0,0,0
3390085,LCA PINE LAKES DIVISION,Lehigh,Ground water,158,5,31.5,13.1,Local government,61,Urban,1,0,1
3390089,LIL WOLF MHP,Lehigh,Ground water,600,5,31.5,13.1,Private,271,Urban,7,0,7
3390090,GREEN ACRES MHC,Lehigh,Ground water,1475,5,31.5,13.1,Private,590,Urban,5,0,5
3390091,WOODSIDE MOBILE HOME PARK,Lehigh,Ground water,130,3,31.5,13.1,Private,52,Urban,5,0,5
3390093,DESALES UNIVERSITY,Lehigh,Ground water,2000,6,31.5,13.1,Public/Private,42,Urban,0,0,0
3390097,HANOVER TOWNSHIP LEHIGH COUNTY,Lehigh,Surface water purchased,520,4,31.5,13.1,Local government,96,Urban,8,0,8
3390111,LCA UPPER MILFORD DIVISION,Lehigh,Ground water,185,4,31.5,13.1,Local government,72,Urban,0,1,1
3390113,MOUNT TREXLER MANOR,Lehigh,Ground water,90,3,31.5,13.1,Private,1,Urban,9,2,11
3390115,LCA MADISON NORTH DIVISION,Lehigh,Ground water,290,3,31.5,13.1,Private,116,Urban,0,0,0
3480006,GREEN ACRES MOBILE HOME PARK,Northampton,Ground water,48,4,21.1,9.4,Private,26,Urban,7,1,8
3480007,DEL-AIRE MOBILE HOME PARK,Northampton,Ground water,33,4,21.1,9.4,Private,21,Urban,3,0,3
3480008,MEADOWBROOK MOBILE HOMES,Northampton,Ground water,40,4,21.1,9.4,Private,21,Urban,6,0,6
3480011,DRIFTWOOD COURT,Northampton,Ground water,53,3,21.1,9.4,Private,30,Urban,0,0,0
3480012,SCHWEPS MOBILE HOME PARK,Northampton,Ground water,90,4,21.1,9.4,Private,57,Urban,29,0,29
3480013,THE ORCHARD AT AIRPORT ROAD,Northampton,Ground water,37,5,21.1,9.4,Private,25,Urban,2,1,3
3480015,HICKORY HILLS MHC,Northampton,Ground water,800,6,21.1,9.4,Private,354,Urban,4,0,4
3480021,BETH EAST ALLEN GDNS,Northampton,Ground water,192,6,21.1,9.4,Local government,73,Urban,6,1,7
3480022,BETH SHADY LANE SYSTEM,Northampton,Ground water,61,3,21.1,9.4,Local government,23,Urban,1,1,2
3480024,UTILITIES INC WESTGATE,Northampton,Surface water purchased,2032,9,21.1,9.4,Private,760,Urban,5,1,6
3480027,LOWER SAUCON AUTHORITY,Northampton,Surface water purchased,5653,14,21.1,9.4,Local government,2166,Urban,2,0,2
3480028,LCA CLEARVIEW FARM ESTATES DIV,Northampton,Ground water,170,6,21.1,9.4,Local government,67,Urban,1,0,1
3480029,AQUA PA WHITEHAVEN EVANWOOD,Northampton,Ground water,60,3,21.1,9.4,Private,21,Urban,4,0,4
3480030,AQUA PA WH CHRISTIAN SPRINGS,Northampton,Ground water,153,5,21.1,9.4,Private,52,Urban,5,0,5
3480032,WALNUTPORT AUTHORITY,Northampton,Groundwater under influence of surface water,3000,16,21.1,9.4,Local government,1001,Urban,82,0,82
3480035,RIVERSEDGE,Northampton,Ground water,75,7,21.1,9.4,Private,32,Urban,5,1,6
3480037,CEDAR GROVE MOBILE HOME PARK,Northampton,Ground water,65,3,21.1,9.4,Private,20,Urban,8,3,11
3480038,PAW BANGOR DISTRICT,Northampton,Surface water,9008,22,21.1,9.4,Private,3610,Urban,0,0,0
3480039,MILLERS EDGEWOOD MHP,Northampton,Ground water,78,3,21.1,9.4,Private,38,Urban,1,0,1
3480040,SCOTTYS MANUFACTURED HOMES,Northampton,Ground water,67,9,21.1,9.4,Private,52,Urban,3,1,4
3480041,KELLOWS MOBILE HOME PARK,Northampton,Ground water,30,3,21.1,9.4,Private,17,Urban,2,2,4
3480043,CROSSROADS MHP,Northampton,Ground water,30,3,21.1,9.4,Private,17,Urban,4,0,4
3480044,ROYAL OAKS MHP,Northampton,Ground water,85,6,21.1,9.4,Private,33,Urban,29,0,29
3480045,WHISPERING HOLLOW-SOUTH MHP,Northampton,Ground water,400,4,21.1,9.4,Private,136,Urban,3,0,3
3480046,CITY OF BETHLEHEM,Northampton,Surface water,115845,24,21.1,9.4,Local government,35574,Urban,8,0,8
3480049,E BANGOR MUN AUTHORITY,Northampton,Ground water,1200,6,21.1,9.4,Local government,492,Urban,1,0,1
3480050,EASTON AREA WATER SYSTEM,Northampton,Surface water,93400,8,21.1,9.4,Local government,31768,Urban,5,1,6
3480052,HELLERTOWN BOROUGH AUTHORITY,Northampton,Ground water,5800,19,21.1,9.4,Local government,2411,Urban,5,0,5
3480053,PAW BERRY HOLLOW,Northampton,Ground water,70,5,21.1,9.4,Private,28,Urban,1,2,3
3480054,GAP VIEW COMMUNITY MHP,Northampton,Ground water,50,4,21.1,9.4,Private,25,Urban,44,6,50
3480055,PAW BLUE MOUNTAIN DIVISION,Northampton,Surface water,23763,30,21.1,9.4,Private,9282,Urban,0,0,0
3480056,BETH COUNTRY SQUIRE ESTATES,Northampton,Ground water,87,6,21.1,9.4,Local government,32,Urban,1,0,1
3480057,NORTHAMPTON BORO MUNI AUTH,Northampton,Surface water,40000,18,21.1,9.4,Local government,14048,Urban,1,0,1
3480058,WHISPERING HOLLOW NORTH MHP,Northampton,Ground water,240,6,21.1,9.4,Private,79,Urban,3,0,3
3480059,PORTLAND BORO AUTHORITY,Northampton,Ground water,1100,10,21.1,9.4,Local government,410,Urban,2,1,3
