PWS_ID,PWS_Name,County_Name,Ownership,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations
2590051,NELSON TWP WATER AUTH,Tioga,Authority,Surface water,300,8,3.684210526,3.157894737,0.526315789,0.526315789,Local government,122,Rural,532,10,542
2590053,GEORGE DEAR MHP,Tioga,Mobile Home Park,Ground water,200,6,0,0,0,0,Private,50,Rural,59,1,60
2590812,MANSFIELD STATE UNIVERSITY,Tioga,Institutional Education,Surface water,3000,7,3.983228512,6.918238994,2.096436059,2.725366876,State government,36,Urban,93,3,96
2640004,SUNRISE TERRACE MHP,Wayne,Mobile Home Park,Ground water,144,6,11.42857143,4.285714286,1.428571429,2.857142857,Private,70,Urban,1,0,1
2640006,NEVILLES MHP,Wayne,Mobile Home Park,Ground water,85,3,2.857142857,8.571428571,0,8.571428571,Private,34,Rural,4,0,4
2640008,LAKESIDE MHP,Wayne,Mobile Home Park,Ground water,48,5,7.142857143,7.142857143,0,0,Private,19,Urban,2,1,3
2640010,CHERRY HILL AT HOLIDAY PARK,Wayne,Mobile Home Park,Ground water,100,3,6.25,6.25,0,0,Private,42,Rural,2,5,7
2640012,CANAL CAMP SITE MHP,Wayne,Mobile Home Park,Ground water,200,6,3.96039604,4.95049505,1.98019802,2.97029703,Private,50,Urban,4,0,4
2640014,DEVEREUX FOUNDATION POCONO CTR,Wayne,Institutional Health,Ground water,115,5,0,0,0,0,Private,4,Rural,1,1,2
2640015,PORT FLORENCE DEVELOPMENT,Wayne,Private Investor Owned,Ground water,100,7,0,0,0,0,Private,20,Rural,1,0,1
2640017,AQUA PA GARDEN HILLS,Wayne,Apartments,Ground water,90,4,3.174603175,9.523809524,0,6.349206349,Private,41,Rural,1,0,1
2640018,AQUA PA HONESDALE,Wayne,Private Investor Owned,Ground water,5500,17,9.548387097,4.838709677,1.053763441,3.290322581,Private,2374,Urban,2,1,3
2640019,HILLTOP VILLAGE ASSN,Wayne,Association - Co-Op,Ground water,86,12,3.03030303,1.515151515,0,0.757575758,Private,45,Rural,2,3,5
2640020,AQUA PA WAYMART SCI,Wayne,Private Investor Owned,Ground water,3200,9,3.46907994,30.61840121,16.89291101,10.40723982,Private,4,Rural,1,0,1
2640022,AQUA PA GOULDSBORO,Wayne,Private Investor Owned,Ground water,350,3,5.340699816,5.893186004,1.657458564,3.130755064,Private,141,Rural,2,0,2
2640023,LAKE WALLENPAUPACK SANDY SHORE,Wayne,Association - Co-Op,Ground water,499,12,5.202312139,2.89017341,0,1.156069364,Private,170,Rural,4,1,5
2640024,CHERRY HILL MHP,Wayne,Mobile Home Park,Ground water,86,4,0,0,0,0,Private,38,Rural,1,4,5
2640025,SOUTH WAYNE CNTY W AND S AUTH,Wayne,Association - Co-Op,Ground water,7105,15,2.623403521,6.938211943,3.382809803,2.89955126,Private,3046,Rural,23,4,27
2640028,AQUA PA HAWLEY,Wayne,Private Investor Owned,Ground water,1800,14,3.015323777,9.441423628,0.840336134,5.388037568,Private,806,Rural,1,1,2
2640031,AQUA PA WAYNE CNTY PRISON,Wayne,Private Investor Owned,Ground water,160,3,3.703703704,3.703703704,0,3.703703704,Private,1,Urban,1,0,1
2640032,AQUA PA WAYMART,Wayne,Private Investor Owned,Ground water,1100,14,3.396087117,30.60169804,16.9066076,10.44665928,Private,415,Rural,2,0,2
2640036,WALLENPAUPACK LAKE ESTS,Wayne,Association - Co-Op,Ground water,2200,15,5.060506051,2.750275028,0,1.100110011,Private,955,Rural,28,1,29
2640042,ARNOLD APTS,Wayne,Apartments,Ground water,44,3,0,10,0,0,Private,19,Rural,17,5,22
2640044,HAMLIN WATER COMPANY,Wayne,Private Investor Owned,Ground water,400,5,3.91959799,8.24120603,0.100502513,7.537688442,Private,90,Rural,33,3,36
2640046,BRIGHTEN AT JULIA RIBAUDO,Wayne,Institutional Health,Ground water,200,3,0,4.761904762,4.761904762,0,Private,1,Rural,89,0,89
2640047,PA AMER WATER CO INDIAN ROCKS,Wayne,Private Investor Owned,Ground water,1100,16,4.081632653,8.163265306,0,7.346938776,Private,404,Rural,3,2,5
2640048,AQUA PA PAUPACKAN LAKE EST,Wayne,Association - Co-Op,Ground water,800,18,4.87804878,3.25203252,0.81300813,0.81300813,Private,400,Rural,2,1,3
2640049,PINE GROVE ESTATES,Wayne,Private Investor Owned,Ground water,263,14,3.546099291,1.418439716,0,0.709219858,Private,120,Rural,19,1,20
2640050,RYAN HILL DEVELOPMENT,Wayne,Private Investor Owned,Ground water,75,3,0,0,0,0,Private,25,Rural,2,0,2
2640051,WOODLAND HILLS,Wayne,Association - Co-Op,Ground water,320,8,7.692307692,0,0,0,Private,125,Rural,15,2,17
2640052,PARADISE POINT,Pike,Association - Co-Op,Ground water,300,4,4.761904762,4.761904762,0,0,Private,150,Rural,69,0,69
2640054,SALEM HEIGHTS PROPERTY OWNERS,Wayne,Association - Co-Op,Ground water,62,3,0,14.28571429,0,14.28571429,Private,40,Rural,621,16,637
2640055,WOODLYN RESIDENCES,Wayne,Private Investor Owned,Ground water,35,3,0,0,0,0,Private,14,Rural,35,0,35
2640057,HIMALAYAN INSTITUTE,Wayne,Institutional Education,Ground water,124,8,0,6.666666667,0,6.666666667,Public/Private,14,Rural,101,4,105
2640063,BUCKINGHAM ESTATES,Wayne,Mobile Home Park,Ground water,57,3,3.448275862,6.896551724,0,6.896551724,Private,29,Rural,1,0,1
2640065,BETHANY VILLAGE,Wayne,Institutional Health,Ground water,99,3,0,0,0,0,Private,4,Rural,64,0,64
2640703,ASPEN RIDGE POA,Wayne,Association - Co-Op,Ground water,100,3,5.454545455,2.727272727,0,0.909090909,Local government,38,Rural,12,2,14
2660004,WINOLA WATER CO,Wyoming,Private Investor Owned,Ground water,130,5,2.380952381,3.968253968,0.793650794,1.587301587,Private,45,Rural,98,0,98
2660008,COPPER KETTLE MHP,Wyoming,Mobile Home Park,Ground water,62,3,4.444444444,2.222222222,0,0,Private,27,Rural,1,0,1
2660010,MESHOPPEN BORO WATER CO,Wyoming,Municipal,Ground water,563,6,3.392857143,7.678571429,0.357142857,5.357142857,Local government,186,Rural,15,1,16
2660011,NICHOLSON BORO AUTH,Wyoming,Authority,Ground water,1000,5,1.924927815,5.774783446,2.117420597,1.828681424,Local government,234,Rural,5,1,6
2660012,SUEZ WATER PA NOXEN,Wyoming,Private Investor Owned,Ground water,315,3,3.441295547,2.631578947,0.20242915,0.20242915,Private,105,Rural,0,0,0
2660014,TUNKHANNOCK BORO MUNI AUTH,Wyoming,Authority,Ground water,5349,14,3.514938489,3.936731107,0.949033392,0.843585237,Local government,835,Urban,5,0,5
2660015,WESTGATE WATER SYSTEM,Wyoming,Private Investor Owned,Ground water,150,4,2.325581395,2.325581395,0,2.325581395,Local government,43,Rural,34,0,34
2660016,AQUA PA WASHINGTON PARK,Wyoming,Private Investor Owned,Ground water,300,10,3.03030303,3.03030303,0,3.03030303,Private,156,Rural,10,0,10
2660017,AQUA PA RIVERCREST DIV,Wyoming,Private Investor Owned,Ground water,542,6,5.023923445,3.349282297,0,0.956937799,Private,215,Rural,8,0,8
2660018,AQUA PA  BUNKER HILL,Wyoming,Private Investor Owned,Ground water,210,4,0,0,0,0,Private,66,Rural,5,0,5
2660019,LACEYVILLE BORO WATERWORKS,Wyoming,Municipal,Ground water,415,5,3.278688525,7.650273224,0.364298725,5.464480874,Local government,163,Rural,7,0,7
2660020,MEHOOPANY TWP MUNI AUTH,Wyoming,Authority,Ground water,85,4,3.333333333,3.333333333,0,3.333333333,Private,31,Rural,3,0,3
2660023,MT AIRY LAKEVIEW ESTATES,Wyoming,Mobile Home Park,Ground water,35,4,0,0,0,0,Private,24,Rural,5,0,5
2660024,DYMONDS TRAILER PARK,Wyoming,Mobile Home Park,Ground water,90,3,0,0,0,0,Private,36,Rural,40,0,40
2660027,COOKS MHP,Wyoming,Mobile Home Park,Ground water,92,11,0,0,0,0,Private,42,Rural,83,2,85
2660031,OAKWOOD LAKE WATER SYS,Wyoming,Mobile Home Park,Ground water,273,3,5.617977528,3.370786517,0,1.123595506,Private,79,Urban,33,0,33
2660033,CLARENDON ACRES WATER CO,Wyoming,Association - Co-Op,Ground water,280,8,0,0,0,0,Private,68,Urban,158,0,158
2660034,MAPLEWOOD HEIGHTS MHP,Wyoming,Mobile Home Park,Ground water,35,3,0,0,0,0,Private,14,Rural,3,1,4
2660036,AQUA PA FACTORYVILLE,Wyoming,Private Investor Owned,Ground water,2323,6,1.886792453,5.660377358,2.031930334,1.959361393,Private,221,Urban,6,0,6
2660037,FREEMANS MHP,Wyoming,Mobile Home Park,Ground water,83,3,0,0,0,0,Private,42,Rural,39,0,39
2660039,EATON SEWER AND WATER CO INC,Wyoming,Private Investor Owned,Ground water,3100,4,2.923976608,4.093567251,1.169590643,0.584795322,Private,98,Rural,11,0,11
2660042,WHITES FERRY ROAD APT,Wyoming,Apartments,Ground water,39,4,0,0,0,0,Public/Private,12,Rural,5,0,5
3060002,BALLY MUNI WATERWORKS,Berks,Municipal,Ground water,1090,8,4.200542005,2.574525745,0.135501355,0.745257453,Local government,458,Urban,2,0,2
3060004,WOODLAND MHP,Berks,Mobile Home Park,Ground water,61,4,5.263157895,5.263157895,0,5.263157895,Private,39,Rural,6,2,8
3060005,GEISINGERS SUBURBAN ACRES MHP,Berks,Mobile Home Park,Ground water,90,6,0,3.571428571,0,0,Private,48,Rural,3,0,3
3060010,BIRDSBORO MUNI AUTH,Berks,Auth Leases Back To Mun,Surface water,5353,7,3.546712803,7.214532872,1.799307958,2.404844291,Local government,2005,Urban,8,6,14
3060012,MAIDENCREEK TWP WATER AUTH,Berks,Authority,Ground water,7505,12,2.60173449,13.44229486,4.436290861,7.705136758,Local government,2607,Urban,4,0,4
3060013,MAXATAWNY TWP MUNI AUTH,Berks,Authority,Ground water,425,5,4.249291785,14.73087819,6.515580737,3.966005666,Private,136,Rural,17,1,18
3060018,AQUA PA FLYING HILLS,Berks,Private Investor Owned,Ground water,3600,10,3.83611691,14.84864301,3.966597077,6.497912317,Private,1424,Rural,0,1,1
3060026,PARK PLACE COURT LLC,Berks,Mobile Home Park,Ground water,29,4,11.11111111,0,0,0,Private,19,Urban,44,0,44
3060028,VALLEY VIEW TRAILER PARK BLANDON,Berks,Mobile Home Park,Ground water,50,3,5,5,0,5,Private,30,Urban,3,0,3
3060029,FLEETWOOD BORO,Berks,Municipal,Ground water,4218,40,2.194513716,14.06483791,0.847880299,11.24688279,Local government,1694,Urban,25,0,25
3060030,AQUA PA GEIGERTOWN,Berks,Private Investor Owned,Ground water,200,6,3.592814371,7.48502994,3.592814371,2.994011976,Private,75,Rural,1,0,1
3060031,LAUREL HEALTH RESOURCES,Berks,Institutional Health,Ground water,240,7,4.347826087,8.695652174,4.347826087,4.347826087,Private,2,Urban,1,0,1
3060032,PLEASANT HILLS MHP,Berks,Mobile Home Park,Ground water,1200,7,6.25,8.823529412,5.882352941,2.573529412,Private,354,Urban,4,1,5
3060034,LEMAKEDE MOBILE COURT,Berks,Mobile Home Park,Ground water,90,3,0,9.090909091,0,0,Private,50,Rural,3,0,3
3060035,HAMBURG BORO MUNI AUTH,Berks,Auth Leases Back To Mun,Surface water,4990,11,3.624309392,5.281767956,0.220994475,4.596685083,Local government,2229,Urban,11,3,14
3060036,WILL O HILL APTS,Berks,Apartments,Ground water,300,4,1.754385965,12.28070175,5.263157895,3.50877193,Private,190,Urban,4,0,4
3060037,HEREFORD ESTATES MHP,Berks,Mobile Home Park,Ground water,710,4,2.861035422,6.130790191,0,5.994550409,Private,344,Urban,3,0,3
3060038,MUHLENBERG TWP AUTH,Berks,Authority,Ground water,21000,38,3.695554741,28.95734018,4.481929674,20.94690951,Local government,7851,Urban,8,2,10
3060040,BERKLEIGH HEIGHTS MHP,Berks,Mobile Home Park,Ground water,95,7,6.451612903,3.225806452,0,3.225806452,Private,47,Rural,25,1,26
3060041,KUTZTOWN MUNI WATERWORKS,Berks,Municipal,Groundwater under influence of surface water,14200,6,2.510025249,13.11451062,3.742759543,6.549829199,Local government,1902,Urban,0,0,0
3060042,GREEN ACRES MHP,Berks,Mobile Home Park,Ground water,47,3,0,0,0,0,Private,18,Rural,2,0,2
3060043,HIGHLAND ESTATES MHP,Berks,Mobile Home Park,Ground water,1050,12,2.182539683,2.976190476,0.198412698,1.984126984,Private,271,Rural,0,0,0
3060044,SITTLERS MHP,Berks,Mobile Home Park,Ground water,89,8,4.166666667,14.58333333,6.25,4.166666667,Private,49,Rural,74,6,80
3060045,BERN TWP MUNI AUTH,Berks,Authority - (Purchases),Surface water purchased,1800,7,2.875695733,21.24304267,5.102040816,14.00742115,Local government,336,Rural,2,0,2
3060047,LEESPORT MUNI WATERWORKS,Berks,Auth Leases Back To Mun,Ground water,2200,15,1.706384231,11.82700794,2.853780524,7.472786114,Local government,910,Urban,6,1,7
3060048,COUNTRY VIEW MHP,Berks,Mobile Home Park,Ground water,98,4,2.857142857,2.857142857,0,2.857142857,Private,46,Urban,32,0,32
3060052,CAERNARVON TWP WATER AUTH,Berks,Authority,Ground water,4245,15,2.642276423,6.368563686,0.81300813,1.151761518,Local government,1190,Urban,9,2,11
3060053,OLEY TWP MUNI AUTH,Berks,Auth Leases Back To Mun,Ground water,2204,11,2.387640449,2.574906367,0.280898876,1.217228464,Local government,698,Urban,5,0,5
3060059,READING AREA WATER AUTH,Berks,Auth Leases Back To Mun,Surface water,87000,14,10.42814844,70.77416845,9.10652921,58.34143811,Local government,28500,Urban,2,1,3
3060061,KEYSTONE EAST LINCOLN WOOD MHP,Berks,Mobile Home Park,Ground water,450,10,3.571428571,12.14285714,6.428571429,5,Private,187,Urban,13,2,15
3060064,TEEN CHALLEGE TRAINING CTR,Berks,Institutional Education,Ground water,300,5,3.125,6.25,0,6.25,Public/Private,17,Rural,16,3,19
3060065,HERITAGE HILL ESTATES,Berks,Mobile Home Park,Ground water,90,4,2.777777778,8.333333333,0,5.555555556,Private,34,Rural,12,1,13
3060067,SHILLINGTON MUNI AUTH,Berks,Auth Leases Bk To Mun(Pu),Surface water purchased,11709,8,3.380301242,11.31394461,0.950926633,7.76011661,Local government,5654,Urban,3,1,4
3060068,MILLER MOBILE HOME PARK,Berks,Mobile Home Park,Ground water,30,3,0,25,0,0,Private,22,Urban,2,0,2
3060069,PA AMER WATER CO PENN DIST,Berks,Private Investor Owned,Ground water,28508,34,2.90119131,16.89138052,3.296426069,9.025928521,Private,13000,Urban,0,0,0
3060070,URBAN ACRES MHP,Berks,Mobile Home Park,Ground water,80,6,2.380952381,2.380952381,0,1.19047619,Private,80,Rural,0,0,0
3060072,TOPTON BORO WATER SYS,Berks,Municipal,Groundwater under influence of surface water,2069,9,2.983502984,3.36960337,0.631800632,1.755001755,Local government,889,Urban,26,1,27
3060073,VALLEY VIEW MHP WERNERSVILLE,Berks,Mobile Home Park,Ground water,60,3,3.703703704,14.81481481,3.703703704,3.703703704,Private,21,Rural,24,1,25
3060076,WERNERSVILLE MUNI AUTH,Berks,Auth Leases Back To Mun,Surface water purchased,6357,22,2.626355169,13.95632921,2.290426019,5.344327378,Local government,2170,Urban,5,0,5
3060078,WEST READING BORO,Berks,Municipal - (Purchases),Surface water purchased,4300,6,5.947242206,31.77458034,9.472422062,20.83932854,Local government,1497,Urban,3,0,3
3060080,WOMELSDORF ROBESONIA JT AUTH,Berks,Authority,Ground water,7070,14,2.35042735,13.14102564,2.314814815,5.11039886,Local government,2107,Urban,25,0,25
3060081,BOYERTOWN MUNI WATERWORKS,Berks,Municipal,Surface water,8000,6,3.446295233,7.194141298,4.020677771,1.479035037,Local government,3200,Urban,5,3,8
3060082,MT PENN BORO MUNI AUTH,Berks,Municipal,Ground water,10400,17,5.968649518,21.80466238,2.99437299,14.68046624,Local government,3700,Urban,19,1,20
3060083,WYOMISSING BORO,Berks,Municipal - (Purchases),Surface water purchased,8500,16,2.773631841,12.21393035,2.002487562,6.281094527,Local government,2441,Urban,3,0,3
3060085,BERNVILLE BORO,Berks,Municipal,Ground water,1010,6,2.144082333,7.289879931,0.343053173,5.231560892,Local government,348,Rural,2,0,2
3060088,PA AMER WATER CO GLEN ALSACE DIST,Berks,Private Investor Owned,Surface water purchased,24951,61,3.051861702,10.83444149,4.07912234,3.45412234,Private,9069,Urban,5,1,6
3060092,BETHANY CHILDRENS HOME,Berks,Institutional Health,Ground water,200,3,2.409638554,14.45783133,2.409638554,4.819277108,Public/Private,32,Rural,7,1,8
3060094,TOPTON LUTHERAN HOME,Berks,Institutional Health,Ground water,410,8,2.923976608,3.50877193,0.584795322,1.754385965,Public/Private,54,Rural,4,1,5
3060095,MOUNTAIN VILLAGE ESTATES MHP,Berks,Mobile Home Park,Ground water,771,4,2.948402948,3.43980344,0.737100737,1.71990172,Private,261,Rural,5,0,5
3060096,LYONS BORO MUNI AUTH,Berks,Auth Leases Back To Mun,Ground water,500,6,4.398447607,15.26520052,6.856403622,3.880983182,Local government,214,Rural,69,0,69
3060098,ONTELAUNEE TWP MUNI AUTH,Berks,Authority - (Purchases),Surface water purchased,2175,9,2.598253275,13.4279476,4.43231441,7.68558952,Local government,415,Rural,10,6,16
3060100,SHOEMAKERSVILLE BORO,Berks,Municipal,Ground water,2150,16,2.371541502,5.23715415,0,4.545454545,Local government,687,Urban,45,1,46
3060105,LAZY K CAMPGROUND,Berks,Institutional Recreational,Ground water,75,6,3.738317757,2.803738318,0,0.934579439,Private,144,Urban,50,1,51
3060106,MEADOWS AT BETHEL MHP,Berks,Mobile Home Park,Ground water,50,3,0,6.666666667,0,0,Private,32,Rural,48,0,48
3060108,VILLAGE AT SUMMIT CREST,Berks,Mobile Home Park,Ground water,120,4,0,11.11111111,5.555555556,5.555555556,Private,60,Urban,3,0,3
3060112,HICKORY FARM MHP,Berks,Mobile Home Park,Ground water,70,3,1.587301587,12.6984127,1.587301587,4.761904762,Private,35,Urban,35,0,35
3060113,IRISH CREEK VILLAGE MHP,Berks,Mobile Home Park,Ground water,90,6,3.472222222,2.083333333,0,2.083333333,Private,50,Urban,24,0,24
3060115,NORTH HEIDELBERG WATER SYS,Berks,Auth Leases Back To Mun,Ground water,1350,6,2.320675105,7.594936709,1.265822785,4.641350211,Local government,350,Rural,3,0,3
3060118,MOUNTAIN SPRINGS MHP,Berks,Mobile Home Park,Ground water,215,8,6.172839506,8.641975309,6.172839506,2.469135802,Private,92,Rural,0,0,0
3060123,PERRY TWP MUNI AUTH,Berks,Authority - (Purchases),Ground water purchased,125,2,2.43902439,4.87804878,0,4.87804878,Local government,33,Urban,0,0,0
3060126,PA AMER WATER CO GOLDEN OAKS RES DIST,Berks,Private Investor Owned,Ground water,100,4,2.135231317,3.914590747,0.711743772,2.135231317,Private,55,Rural,0,0,0
3060127,ABRAXAS ACADEMY,Berks,Institutional Correctional,Ground water,156,4,0,5.555555556,0,0,Private,1,Rural,6,0,6
3060130,WASHINGTON TWP MUNI AUTH BERKS CNTY,Berks,Authority - (Purchases),Ground water purchased,288,2,4.113924051,2.53164557,0,0.632911392,Local government,117,Urban,2,0,2
3060133,AQUA PA HILLCREST ESTS 2,Berks,Private Investor Owned,Ground water,214,3,0,0,0,0,Private,66,Urban,0,0,0
3060134,AQUA PA STONECROFT VLG,Berks,Private Investor Owned,Ground water,600,4,2.608695652,7.826086957,1.739130435,4.347826087,Private,3,Rural,0,0,0
3060137,MEADOWBROOK WATER SYSTEM,Berks,Private Investor Owned,Ground water,250,4,4.196597354,2.533081285,0.11342155,0.756143667,Public/Private,90,Rural,39,0,39
3061153,AQUA PA EAST POINTE,Berks,Private Investor Owned,Ground water,75,3,2.777777778,11.11111111,2.777777778,5.555555556,Private,4,Urban,2,0,2
3130002,BEAVER MEADOWS MUNI AUTH,Carbon,Auth Leases Bk To Mun(Pu),Surface water purchased,968,2,2.51396648,3.491620112,0.418994413,1.536312849,Local government,340,Urban,5,0,5
3130004,LANSFORD COALDALE JT WATER AUTH,Carbon,Authority,Ground water,9300,15,8.033749083,8.767424798,0.898752751,6.401320616,Local government,3500,Rural,6,1,7
3130006,NIS HOLLOW ESTATES MHP,Carbon,Mobile Home Park,Ground water,265,7,3.333333333,6.666666667,0.666666667,3.333333333,Private,128,Rural,17,5,22
3130008,MAHONING VALLEY NURSING AND REHAB CTR,Carbon,Institutional Health,Ground water,145,6,4.166666667,8.333333333,0,4.166666667,Private,145,Rural,28,0,28
3130009,LEHIGHTON MUNI WATER AUTH,Carbon,Authority,Surface water,9000,8,4.199002217,6.111419069,2.549889135,1.385809313,Local government,3541,Urban,14,0,14
3130011,CHESTNUT RIDGE MHP,Carbon,Mobile Home Park,Ground water,152,5,2.469135802,2.469135802,0,1.234567901,Private,54,Rural,8,0,8
3130012,PALMERTON MUNI WATER AUTH,Carbon,Authority,Ground water,7000,11,3.757346767,7.892527288,0,5.079764903,Private,2188,Urban,3,0,3
3130013,SUMMIT HILL MUNI WATER AUTH,Carbon,Authority,Ground water,2890,7,5.827067669,10.58897243,1.315789474,6.516290727,Local government,1284,Urban,2,0,2
3130015,WEATHERLY BORO,Carbon,Municipal,Ground water,2612,11,2.514193025,3.446877534,0.446066504,1.622060016,Local government,965,Rural,28,0,28
3130017,SPRINGHILL MHP,Carbon,Mobile Home Park,Ground water,130,4,0,12.5,0,0,Private,45,Rural,0,2,2
3130021,BOWMANSTOWN BORO AUTH,Carbon,Auth Leases Back To Mun,Ground water,900,13,2.415875755,1.98446937,0,1.294219154,Local government,342,Urban,53,0,53
3130026,NESQUEHONING BORO AUTH,Carbon,Auth Leases Back To Mun,Ground water,2850,11,5.798421372,10.62537948,1.366120219,6.496660595,Local government,1322,Rural,4,0,4
3130027,CREEKSIDE MANOR MHP,Carbon,Mobile Home Park,Ground water,92,3,0,10,0,0,Private,38,Rural,1,0,1
3130029,WEINER MOBILE ESTS,Carbon,Mobile Home Park,Ground water,90,5,3.174603175,1.587301587,0,1.587301587,Private,37,Urban,32,0,32
3130030,DS WATER CO,Carbon,Private Investor Owned,Ground water,150,3,4.651162791,9.302325581,0,4.651162791,Private,24,Urban,23,3,26
3130037,MIDLAKES WATER SYS,Carbon,Private Investor Owned,Ground water,490,3,3.045685279,8.629441624,1.52284264,4.568527919,Private,245,Rural,2,0,2
3130040,BLUE HERON HOMEOWNERS ASSN,Carbon,Private Investor Owned,Ground water,450,3,0,10,0,0,Private,126,Rural,3,0,3
3130043,JIM THORPE BORO WATER EAST,Carbon,Municipal,Ground water,2853,5,4.779547981,4.742497221,1.148573546,2.852908485,Local government,960,Urban,33,0,33
3130044,JIM THORPE BORO WATER WEST,Carbon,Municipal,Surface water,2274,4,4.835589942,4.738878143,1.160541586,2.804642166,Local government,750,Urban,44,5,49
3130049,CARBON CNTY CORR FAC,Carbon,Institutional Correctional,Ground water,125,3,4.166666667,12.5,0,8.333333333,Local government,1,Rural,3,0,3
3130050,BLUE MOUNTAIN VIEW,Carbon,Mobile Home Park,Ground water,114,3,2.702702703,1.351351351,0,1.351351351,Private,50,Rural,39,0,39
3130051,NORTHSIDE HEIGHTS ESTS,Carbon,Mobile Home Park,Ground water,461,3,3.157894737,6.842105263,0.526315789,3.157894737,Private,228,Rural,2,0,2
3130053,SUMMIT MGMT UTILITIES,Carbon,Association - Co-Op,Ground water,500,7,3.03030303,8.484848485,1.818181818,4.848484848,Private,150,Rural,125,3,128
3130054,AQUA PA GOLDEN OAKS DEV,Carbon,Private Investor Owned,Ground water,132,3,0,14.28571429,0,0,Private,100,Rural,2,0,2
3390001,OSSIES MHP,Lehigh,Mobile Home Park,Ground water,40,3,8.333333333,8.333333333,0,8.333333333,Private,25,Urban,13,0,13
3390005,VALLEY VIEW EST,Lehigh,Mobile Home Park,Ground water,68,3,1.960784314,21.56862745,5.882352941,5.882352941,Private,50,Urban,41,0,41
3390010,BIG O MHP (OPPERMAN MHP),Lehigh,Mobile Home Park,Ground water,64,5,1.960784314,21.56862745,5.882352941,5.882352941,Private,38,Urban,21,0,21
3390011,HEIDELBERG ACRES MHP,Lehigh,Mobile Home Park,Ground water,90,4,0,0,0,0,Private,32,Rural,8,1,9
3390018,KEYSTONE MHP,Lehigh,Mobile Home Park,Ground water,375,5,4.225352113,3.521126761,0,2.112676056,Private,150,Urban,7,2,9
3390020,GLENCREST MHP,Lehigh,Mobile Home Park,Ground water,570,5,2.052785924,6.158357771,0.293255132,4.398826979,Private,276,Urban,4,0,4
3390024,LEHIGH CNTY AUTH ALLENTOWN DIV,Lehigh,Authority,Surface water,118000,16,8.190210652,60.64484232,10.50583973,45.52881771,Local government,33167,Urban,3,0,3
3390028,AQUA PA COUNTRY CLUB GARDENS,Lehigh,Private Investor Owned,Ground water,268,9,3.738317757,9.813084112,4.205607477,2.336448598,Private,103,Urban,4,1,5
3390032,EMMAUS MUNI WATERW,Lehigh,Municipal,Ground water,14000,19,4.48269679,9.395732473,0.905504752,3.738569123,Local government,4740,Urban,33,0,33
3390033,MACUNGIE WATER DEPT,Lehigh,Auth Leases Back To Mun,Ground water,3039,7,5.586229295,14.12796362,0.682039623,9.126339721,Local government,1161,Urban,1,0,1
3390035,LEHIGH CNTY AUTH BEVERLY HILLS DIV,Lehigh,Authority,Ground water,122,3,0,0,0,0,Local government,45,Urban,2,0,2
3390036,GRIMS MHP,Lehigh,Mobile Home Park,Ground water,40,6,4.255319149,2.127659574,0,2.127659574,Private,24,Rural,7,0,7
3390039,SLATINGTON BORO,Lehigh,Municipal,Surface water,4450,10,5.359661495,7.968970381,1.010813352,5.57122708,Local government,1465,Urban,14,0,14
3390044,CATASAUQUA MUNI WATER,Lehigh,Municipal,Surface water purchased,6598,8,5.39741795,15.49230051,4.837455281,8.04168611,Local government,2276,Urban,24,0,24
3390045,ALBURTIS BORO WATER,Lehigh,Authority,Ground water,2117,13,2.503793627,21.09256449,6.525037936,5.462822458,Local government,816,Urban,3,0,3
3390046,COOPERSBURG BORO,Lehigh,Authority,Ground water,2570,8,2.11174659,6.731192257,0.571931368,3.959524857,Local government,918,Urban,2,0,2
3390047,LEHIGH CNTY AUTH HEIDLEBERG HEIGHTS DIV,Lehigh,Authority,Ground water,509,11,2.159827214,4.535637149,0,3.887688985,Local government,186,Urban,6,1,7
3390049,AQUA PA MAPLE HILLS,Lehigh,Private Investor Owned,Ground water,164,7,2.777777778,14.44444444,1.666666667,5,Private,63,Urban,2,1,3
3390055,LEHIGH CNTY AUTH NORTH WHITEHALL DIV,Lehigh,Authority,Surface water purchased,2910,22,3.545734841,5.575539568,0.025693731,3.134635149,Local government,917,Urban,1,0,1
3390062,SALISBURY TWP,Lehigh,Municipal - (Purchases),Surface water purchased,8742,12,3.480848861,15.26915114,4.710144928,6.832298137,Local government,3263,Urban,3,0,3
3390065,SOUTH WHITEHALL TWP AUTH,Lehigh,Auth Leases Back To Mun,Surface water purchased,14500,43,3.44739747,15.80198692,2.199201834,6.453256347,Local government,5902,Urban,63,6,69
3390068,AQUA PA SPRINGHOUSE FARMS,Lehigh,Private Investor Owned,Ground water,645,9,3.87409201,17.19128329,2.179176755,3.147699758,Private,248,Urban,30,0,30
3390073,LEHIGH CNTY AUTH CENTRAL DIV,Lehigh,Authority,Surface water purchased,47508,70,2.189940148,18.19929446,2.205794919,6.522256134,Local government,15600,Urban,1,0,1
3390075,LEHIGH CNTY AUTH WLSA EMMAUS CONSECUTIVE,Lehigh,Authority - (Purchases),Ground water purchased,1046,7,4.492753623,11.5942029,4.057971014,4.057971014,Local government,416,Urban,0,0,0
